Home goals,Home shots,Home misses,Home blocks,Home Corsi,Away goals,Away shots,Away misses,Away blocks,Away Corsi
5,18,7,12,42,2,27,9,11,49
5,26,12,9,52,2,21,12,26,61
1,24,7,13,45,4,22,10,13,49
3,28,13,18,62,1,25,14,17,57
3,40,18,16,77,2,23,13,7,45
3,21,8,13,45,2,28,16,16,62
1,30,10,20,61,4,18,7,17,46
4,13,9,10,36,0,29,15,22,66
4,25,9,7,45,4,22,13,14,53
3,27,12,16,58,2,35,8,18,63
4,34,7,9,54,5,31,18,18,72
0,44,17,14,75,4,25,9,11,49
4,24,8,13,49,2,35,11,11,59
1,22,16,29,68,2,22,16,11,51
5,23,14,15,57,2,23,8,18,51
3,24,14,16,57,5,28,6,18,57
0,37,14,9,60,4,33,3,11,51
0,38,10,12,60,1,26,15,5,47
3,25,16,15,59,2,23,12,18,55
0,32,9,24,65,5,20,6,15,46
7,25,9,14,55,4,31,9,11,55
2,28,10,15,55,3,22,10,12,47
2,26,10,8,46,5,24,14,7,50
7,20,12,9,48,1,24,11,11,47
4,42,13,18,77,3,34,11,21,69
1,33,13,24,71,1,25,10,21,57
2,29,17,8,56,1,25,5,17,48
4,20,12,21,57,1,26,21,23,71
1,27,7,13,48,4,32,7,17,60
3,17,16,25,61,2,23,8,12,45
2,25,15,13,55,5,17,7,14,43
3,24,17,25,69,2,21,14,17,54
2,41,13,12,68,3,20,12,9,44
2,24,11,23,60,3,26,8,10,47
6,21,6,11,44,4,24,20,12,60
4,17,9,12,42,1,28,14,22,65
1,28,8,21,58,3,31,8,8,50
1,22,14,18,55,2,21,8,13,44
7,18,6,8,39,4,28,10,8,50
4,44,7,14,69,2,31,5,7,45
1,27,8,18,54,3,19,9,15,46
1,32,18,23,74,4,28,19,14,65
4,28,18,13,63,2,20,11,10,43
4,29,15,10,58,3,17,14,20,54
3,19,9,16,47,1,27,17,20,65
4,33,20,15,72,3,23,6,9,41
3,31,12,16,62,1,32,12,13,58
4,25,11,16,56,1,20,12,24,57
0,28,10,12,50,4,32,10,13,59
3,30,11,24,68,3,25,11,11,50
2,23,9,13,47,0,40,17,26,83
4,22,19,12,57,0,38,16,16,70
1,16,11,17,45,4,31,17,19,71
2,30,9,12,53,2,31,6,8,47
4,48,11,18,81,1,25,13,17,56
4,27,19,13,63,1,20,13,12,46
5,39,8,16,68,0,30,13,23,66
3,23,16,9,51,5,25,10,5,45
6,28,18,16,68,3,27,9,14,53
3,33,20,19,75,0,27,12,26,65
0,19,7,16,42,3,47,9,20,79
0,32,12,11,55,2,34,12,17,65
2,18,19,8,47,1,27,15,17,60
2,27,7,11,47,3,30,6,9,48
2,20,12,11,45,1,27,10,9,47
6,25,10,10,51,2,16,7,15,40
1,21,6,16,44,4,31,5,17,57
2,29,12,13,56,2,32,11,21,66
2,26,7,19,54,3,22,18,15,58
3,33,8,16,60,0,25,9,18,52
1,23,12,18,54,4,23,6,15,48
4,28,7,11,50,2,25,6,15,48
5,21,18,23,67,2,23,9,13,47
5,25,9,4,43,2,28,12,17,59
2,25,11,10,48,3,22,9,19,53
2,51,11,18,82,2,31,15,16,64
4,19,4,17,44,3,32,10,24,69
2,28,14,18,62,4,18,10,11,43
6,28,14,3,51,2,23,10,14,49
