Sum of home r,Sum of away r
-1.9388367423225117e-11,9.546646622945817e-12
-2.1677407941832064e-12,1.7362754201189204e-12
-4.7911738888064926e-11,8.541402389102426e-12
-4.7911738888064926e-11,1.801265529233345e-12
-4.7911738888064926e-11,1.801265529233345e-12
-1.913075364665504e-11,1.7362754201189204e-12
-4.7911738888064926e-11,9.481656513831393e-12
-4.7911738888064926e-11,9.481656513831393e-12
-4.7911738888064926e-11,9.546646622945817e-12
-1.4175330894124472e-11,-5.070893007322959e-12
-6.8560389060117166e-12,9.546646622945817e-12
6.078951309451437e-12,-3.4300541613527973e-12
6.078951309451437e-12,-3.4300541613527973e-12
-4.782574220621629e-11,3.421900461215975e-11
-1.9216750328503675e-11,2.5065491602437207e-12
-1.4886666139744527e-11,3.185840253660336e-11
-2.947666399144279e-12,1.1122495359801554e-11
-4.7911738888064926e-11,9.632843214310884e-12
-4.7911738888064926e-11,9.632843214310884e-12
-4.7911738888064926e-11,9.632843214310884e-12
-1.3407786945312304e-11,1.5069176210304802e-12
-5.403413534456165e-11,-2.275334462282266e-12
-5.403413534456165e-11,1.3731788947814708e-11
-5.912768024101436e-12,1.0503408320156245e-11
-3.2802377981869127e-12,1.4092320128775786e-11
-5.403413534456165e-11,9.165051693467797e-12
5.8213375328813604e-12,1.7362754201189204e-12
-4.7911738888064926e-11,9.632843214310884e-12
-6.830398718313615e-12,2.0101000172548502e-11
-4.700440875654233e-11,2.0101000172548502e-11
-7.530430890581864e-12,-8.868428501793134e-12
-5.323258781627667e-14,-7.83482596113905e-12
-7.408624692865828e-12,-3.874372341382096e-11
-5.323258781627667e-14,-6.726557632454422e-12
-5.323258781627667e-14,-6.726557632454422e-12
-5.323258781627667e-14,-6.726557632454422e-12
3.9483803999831733e-13,-1.0529866753539852e-11
3.9483803999831733e-13,-1.0529866753539852e-11
2.1820109754036715e-12,-2.5554154097792225e-11
2.1820109754036715e-12,-3.512884286009346e-11
2.2020545822146537e-12,-2.5554154097792225e-11
-5.473057262657487e-12,-2.727067318052428e-11
3.864686659898899e-12,-1.725733499912052e-11
-5.323258781627667e-14,-2.5554154097792225e-11
3.864686659898899e-12,-6.726557632454422e-12
2.3238607799306893e-12,-3.874372341382096e-11
4.480418349941953e-13,-7.281648781969214e-12
4.480418349941953e-13,-7.281648781969214e-12
4.006536464425917e-12,-4.03151684005362e-12
3.864686659898899e-12,-3.874372341382096e-11
4.006536464425917e-12,-2.5554154097792225e-11
